ASV,Kingdom,Phylum,Class,Order,Family,Genus,S23,S24,S25,S26,S27,S28,S29,S37,S38,S39,S40,S41,S42,S43
ASV_ 561,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Gordonia,0,0,0,0,0,0,11,0,0,0,0,0,0,0
ASV_ 562,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,NA,NA,0,0,0,0,0,0,11,0,0,0,0,0,0,0
ASV_ 563,Bacteria,Chloroflexi,KD4-96,NA,NA,NA,0,0,0,0,0,0,0,0,11,0,0,0,0,0
ASV_ 564,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NA,NA,0,0,0,0,0,0,0,0,11,0,0,0,0,0
ASV_ 565,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA,0,0,0,0,0,0,0,0,0,0,11,0,0,0
ASV_ 566,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,11,0
ASV_ 567,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,11
ASV_ 568,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,11
ASV_ 569,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,NA,0,10,0,0,0,0,0,0,0,0,0,0,0,0
ASV_ 57,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,0,438,0,117,71,0,214,50,764,435,230,207,786,54
ASV_ 570,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,NA,0,0,10,0,0,0,0,0,0,0,0,0,0,0
ASV_ 571,Bacteria,Firmicutes,Bacilli,Bacillales,NA,NA,0,0,10,0,0,0,0,0,0,0,0,0,0,0
ASV_ 572,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,NA,0,0,0,10,0,0,0,0,0,0,0,0,0,0
