sample,readsNums,Name,Experiment,Alpha,value
S41,123520,S41,S41,Observe,106
S41,126608,S41,S41,Observe,106
S41,129696,S41,S41,Observe,106
S41,132784,S41,S41,Observe,106
S41,135872,S41,S41,Observe,106
S41,138960,S41,S41,Observe,106
S41,142048,S41,S41,Observe,106
S41,145136,S41,S41,Observe,106
S41,148224,S41,S41,Observe,106
S41,151312,S41,S41,Observe,106
S41,154400,S41,S41,Observe,106
S41,154400,S41,S41,Observe,106
S42,3088,S42,S42,Observe,86
S42,6176,S42,S42,Observe,102
S42,9264,S42,S42,Observe,110
S42,12352,S42,S42,Observe,110
S42,15440,S42,S42,Observe,112
S42,18528,S42,S42,Observe,114
S42,21616,S42,S42,Observe,115
S42,24704,S42,S42,Observe,118
S42,27792,S42,S42,Observe,119
S42,30880,S42,S42,Observe,120
S42,33968,S42,S42,Observe,122
S42,37056,S42,S42,Observe,124
S42,40144,S42,S42,Observe,125
S42,43232,S42,S42,Observe,126
S42,46320,S42,S42,Observe,127
S42,49408,S42,S42,Observe,128
S42,52496,S42,S42,Observe,129
S42,55584,S42,S42,Observe,130
S42,58672,S42,S42,Observe,130
S42,61760,S42,S42,Observe,130
S42,64848,S42,S42,Observe,130
S42,67936,S42,S42,Observe,130
S42,71024,S42,S42,Observe,130
S42,74112,S42,S42,Observe,130
S42,77200,S42,S42,Observe,130
S42,80288,S42,S42,Observe,131
S42,83376,S42,S42,Observe,132
S42,86464,S42,S42,Observe,132
S42,89552,S42,S42,Observe,132
S42,92640,S42,S42,Observe,132
S42,95728,S42,S42,Observe,132
S42,98816,S42,S42,Observe,132
S42,101904,S42,S42,Observe,132
S42,104992,S42,S42,Observe,133
S42,108080,S42,S42,Observe,133
S42,111168,S42,S42,Observe,133
S42,114256,S42,S42,Observe,133
S42,117344,S42,S42,Observe,133
S42,120432,S42,S42,Observe,133
S42,123520,S42,S42,Observe,133
S42,126608,S42,S42,Observe,133
S42,129696,S42,S42,Observe,133
S42,132784,S42,S42,Observe,133
S42,135872,S42,S42,Observe,133
S42,138960,S42,S42,Observe,134
S42,142048,S42,S42,Observe,134
S42,145136,S42,S42,Observe,134
S42,148224,S42,S42,Observe,134
S42,151312,S42,S42,Observe,134
S42,154400,S42,S42,Observe,134
S42,154400,S42,S42,Observe,134
S43,3088,S43,S43,Observe,91
S43,6176,S43,S43,Observe,110
S43,9264,S43,S43,Observe,129
S43,12352,S43,S43,Observe,138
S43,15440,S43,S43,Observe,145
S43,18528,S43,S43,Observe,149
